date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:15	4845/4845	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20May%202022%2004:51:14%20GMT	http://theglim.co.kr/robots.txt		(from )
13:51:15	52234/52234	---M--	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2004:51:15%20GMT	http://theglim.co.kr/	C:/My%20Web%20Sites/glim/theglim.co.kr/index.html	(from )
13:51:16	3125/3125	---M--	200	added ('OK')	image/png	etag:%22587bd81bdf4fd41:0%22	http://www.theglim.co.kr/resource/front/images/favico/og-logo.png	C:/My%20Web%20Sites/glim/www.theglim.co.kr/resource/front/images/favico/og-logo.png	(from http://theglim.co.kr/)
13:51:16	969/969	---M--	200	added ('OK')	image/png	etag:%22926cae1adf4fd41:0%22	http://www.theglim.co.kr/resource/front/images/favico/favicon.png	C:/My%20Web%20Sites/glim/www.theglim.co.kr/resource/front/images/favico/favicon.png	(from http://theglim.co.kr/)
13:51:16	19700/19700	---M--	200	added ('OK')	text/css	etag:%2263bf4431bf4bd41:0%22	http://theglim.co.kr/resource/front/css/jquery/jquery-ui.min.css	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/css/jquery/jquery-ui.min.css	(from http://theglim.co.kr/)
13:51:19	9401/9401	---M--	200	added ('OK')	application/javascript	etag:%228647ab31bf4bd41:0%22	http://theglim.co.kr/resource/front/js/jquery/jquery.easeScroll.js	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/jquery/jquery.easeScroll.js	(from http://theglim.co.kr/)
13:51:21	17946/17946	---M--	200	added ('OK')	application/javascript	etag:%227ef8bb31bf4bd41:0%22	http://theglim.co.kr/resource/front/js/motion/jquery.waypoints.js	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/motion/jquery.waypoints.js	(from http://theglim.co.kr/)
13:51:24	115778/115778	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1c442%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/2.0.1/TweenMax.min.js	C:/My%20Web%20Sites/glim/cdnjs.cloudflare.com/ajax/libs/gsap/2.0.1/TweenMax.min.js	(from http://theglim.co.kr/)
13:51:29	48413/48413	---M--	200	added ('OK')	application/javascript	etag:%224dbdc031bf4bd41:0%22	http://theglim.co.kr/resource/front/js/skrollr/skrollr.js	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/skrollr/skrollr.js	(from http://theglim.co.kr/)
13:51:30	19774/19774	---M--	200	added ('OK')	text/css	etag:%2215e4e631bf4bd41:0%22	http://theglim.co.kr/resource/front/js/swiper-4.3.5/css/swiper.min.css	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/js/swiper-4.3.5/css/swiper.min.css	(from http://theglim.co.kr/)
13:51:30	2472/2472	---M--	200	added ('OK')	text/css	etag:%2248a5c432bf4bd41:0%22	http://theglim.co.kr/Scripts/plugins/loading/iosOverlay.css	C:/My%20Web%20Sites/glim/theglim.co.kr/Scripts/plugins/loading/iosOverlay.css	(from http://theglim.co.kr/)
13:51:31	101/101	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2031%20May%202022%2004:51:31%20GMT	http://cdn.rawgit.com/hiun/NanumSquare/master/nanumsquare.css	C:/My%20Web%20Sites/glim/cdn.rawgit.com/hiun/NanumSquare/master/nanumsquare.c.delayed	(from http://theglim.co.kr/)
13:51:31	945/945	---M-Z	200	added ('OK')	text/css	etag:W/%223b1-pyI1qjI133n5Ki0+OnTX0tA7+6k%22	https://cdn.jsdelivr.net/gh/hiun/NanumSquare@master/nanumsquare.css	C:/My%20Web%20Sites/glim/cdn.jsdelivr.net/gh/hiun/NanumSquare@master/nanumsquare.css	(from http://theglim.co.kr/)
13:51:31	873/873	---M--	200	added ('OK')	text/css	etag:%22c1842a31bf4bd41:0%22	http://theglim.co.kr/resource/front/css/glim.css	C:/My%20Web%20Sites/glim/theglim.co.kr/resource/front/css/glim.css	(from http://theglim.co.kr/)
13:51:49	104417/104417	---M--	200	added ('OK')	application/javascript	etag:%22dcac6ca41b56d41:0%22	http://theglim.co.kr/Scripts/common.js?v=20220531135115	C:/My%20Web%20Sites/glim/theglim.co.kr/Scripts/common87ca.js	(from http://theglim.co.kr/)
