date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:12	10332/10332	---M--	200	added ('OK')	text/html	etag:W/%22285c-17e8bcd7160%22	https://apis.map.kakao.com/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/index.html	(from )
14:11:12	3719/3719	---M--	404	error ('Not%20Found')	text/html	etag:W/%22e87-17e8bcd7160%22	https://apis.map.kakao.com/robots.txt		(from )
14:11:12	18278/18278	---M--	200	added ('OK')	image/x-icon	etag:W/%224766-17e8bcd7160%22	https://apis.map.kakao.com/favicon.ico	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/favicon.ico	(from https://apis.map.kakao.com/)
14:11:12	308378/308378	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202016%2008:34:10%20GMT	https://t1.daumcdn.net/localimg/localimages/07/mapapidoc/daumMapsApi.png	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/localimg/localimages/07/mapapidoc/daumMapsApi.png	(from https://apis.map.kakao.com/)
14:11:12	99919/99919	---M--	200	added ('OK')	image/png	etag:W/%221864f-17e8bcd7160%22	https://apis.map.kakao.com/images/daumMapsApiThumb.png	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/images/daumMapsApiThumb.png	(from https://apis.map.kakao.com/)
14:11:14	45032/45032	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2011:13:06%20GMT	http://t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/main.min.css	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/main.min.css	(from https://apis.map.kakao.com/)
14:11:14	2022/2022	---M--	200	added ('OK')	application/javascript	date:Fri,%2027%20May%202022%2007:50:58%20GMT	https://spi.maps.daum.net/imap/map_js_init/v3.js	C:/My%20Web%20Sites/kakao/spi.maps.daum.net/imap/map_js_init/v3.js	(from https://apis.map.kakao.com/)
14:11:15	3380/3380	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Dec%202014%2002:51:34%20GMT	http://s1.daumcdn.net/svc/original/U0301/cssjs/JSON-js/fc535e9cc8/json2.min.js	C:/My%20Web%20Sites/kakao/s1.daumcdn.net/svc/original/U0301/cssjs/JSON-js/fc535e9cc8/json2.min.js_;%20filename_=UTF-8''json2.min.js	(from https://apis.map.kakao.com/)
14:11:16	16364/16364	---M--	200	added ('OK')	text/html	etag:W/%223fec-17e8bcd7160%22	https://apis.map.kakao.com/android/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/android/index.html	(from https://apis.map.kakao.com/)
14:11:17	19254/19254	---M--	200	added ('OK')	text/html	etag:W/%224b36-17e8bcd7160%22	https://apis.map.kakao.com/web/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/web/index.html	(from https://apis.map.kakao.com/)
14:11:18	38408/38408	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Nov%202019%2006:50:37%20GMT	http://m1.daumcdn.net/tiara/js/td.min.js	C:/My%20Web%20Sites/kakao/m1.daumcdn.net/tiara/js/td.min.js	(from https://apis.map.kakao.com/)
14:11:18	31999/31999	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2024%20Jan%202022%2011:13:06%20GMT	http://t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/js/service.min.js	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/js/service.min.js	(from https://apis.map.kakao.com/)
14:11:18	16296/16296	---M--	200	added ('OK')	text/html	etag:W/%223fa8-17e8bcd7160%22	https://apis.map.kakao.com/ios/	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/ios/index.html	(from https://apis.map.kakao.com/)
14:11:19	4675/4675	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202016%2008:33:38%20GMT	https://t1.daumcdn.net/localimg/localimages/07/mapapidoc/logo.png	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/localimg/localimages/07/mapapidoc/logo.png	(from http://t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/main.min.css)
14:11:21	282944/282944	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Dec%202014%2006:26:51%20GMT	http://s1.daumcdn.net/svc/original/U03/cssjs/jquery/jquery-1.11.0.js	C:/My%20Web%20Sites/kakao/s1.daumcdn.net/svc/original/U03/cssjs/jquery/jquery-1.11.0.js	(from https://apis.map.kakao.com/)
14:11:22	56252/56252	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2011:13:07%20GMT	http://t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/app.min.css	C:/My%20Web%20Sites/kakao/t1.daumcdn.net/mapapisdoc/cssjs/1643022782389/css/app.min.css	(from https://apis.map.kakao.com/android/)
14:11:22	61/61	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20May%202022%2005:11:22%20GMT	https://apis.map.kakao.com/android/guide	C:/My%20Web%20Sites/kakao/apis.map.kakao.com/android/guide	(from https://apis.map.kakao.com/android/)
